監,jian1
間,jian1
揀,jian3
撿,jian3
檢,jian3
減,jian3
件,jian4
健,jian4
僭,jian4
建,jian4
漸,jian4
艦,jian4
蒐,jian4
薦,jian4
見,jian4
鍵,jian4
鑑,jian4
將,jiang1
疆,jiang1
獎,jiang3
講,jiang3
降,jiang4
交,jiao1
嬌,jiao1
焦,jiao1
驕,jiao1
嚼,jiao2
角,jiao3
叫,jiao4
教,jiao4
較,jiao4
接,jie1
皆,jie1
街,jie1
階,jie1
傑,jie2
劫,jie2
截,jie2
捷,jie2
杰,jie2
節,jie2
結,jie2
姐,jie3
解,jie3
介,jie4
屆,jie4
界,jie4
藉,jie4
今,jin1
斤,jin1
禁,jin1
筋,jin1
金,jin1
僅,jin3
緊,jin3
儘,jin4
勁,jin4
晉,jin4
浸,jin4
盡,jin4
近,jin4
進,jin4
京,jing1
晶,jing1
睛,jing1
精,jing1
經,jing1
荊,jing1
驚,jing1
景,jing3
警,jing3
阱,jing3
境,jing4
徑,jing4
敬,jing4
竟,jing4
競,jing4
鏡,jing4
靖,jing4
靚,jing4
靜,jing4
究,jiu1
糾,jiu1
久,jiu3
九,jiu3
酒,jiu3
就,jiu4
舊,jiu4
居,ju1
局,ju2
橘,ju2
咀,ju3
舉,ju3
俱,ju4
具,ju4
劇,ju4
巨,ju4
據,ju4
聚,ju4
距,ju4
捲,juan4
決,jue2
爵,jue2
絕,jue2
覺,jue2
均,jun1
軍,jun1
駿,jun4
咖,ka1
開,kai1
刊,kan1
看,kan4
磡,kan4
康,kang1
慷,kang1
抗,kang4
烤,kao3
考,kao3
靠,kao4
柯,ke1
科,ke1
可,ke3
克,ke4
刻,ke4
客,ke4
課,ke4
坑,keng1
空,kong1
孔,kong3
恐,kong3
控,kong4
口,kou3
叩,kou4
苦,ku3
庫,ku4
酷,ku4
跨,kua4
塊,kuai4
快,kuai4
款,kuan3
狂,kuang2
框,kuang4
況,kuang4
礦,kuang4
鄺,kuang4
愧,kui4
饋,kui4
括,kuo4
擴,kuo4
拉,la1
喇,la3
辣,la4
啦,la5
來,lai2
萊,lai2
攔,lan2
欄,lan2
籃,lan2
藍,lan2
蘭,lan2
欖,lan3
覽,lan3
廊,lang2
狼,lang2
浪,lang4
撈,lao1
勞,lao2
佬,lao3
老,lao3
勒,le4
樂,le4
累,lei2
雷,lei2
淚,lei4
類,lei4
稜,leng2
冷,leng3
嚟,li2
釐,li2
離,li2
黎,li2
李,li3
理,li3
禮,li3
裏,li3
裡,li3
里,li3
例,li4
利,li4
力,li4
勵,li4
曆,li4
歷,li4
立,li4
粒,li4
荔,li4
莉,li4
麗,li4
聯,lian2
蓮,lian2
連,lian2
戀,lian4
煉,lian4
練,lian4
涼,liang2
糧,liang2
良,liang2
量,liang2
兩,liang3
亮,liang4
輛,liang4
療,liao2
了,liao3
料,liao4
列,lie4
烈,lie4
獵,lie4
裂,lie4
林,lin2
淋,lin2
臨,lin2
麟,lin2
令,ling2
鈴,ling2
零,ling2
領,ling3
另,ling4
溜,liu1
劉,liu2
榴,liu2
流,liu2
瀏,liu2
留,liu2
六,liu4
瓏,long2
隆,long2
龍,long2
樓,lou2
嚕,lu1
爐,lu2
滷,lu3
魯,lu3
路,lu4
錄,lu4
陸,lu4
露,lu4
鹿,lu4
亂,luan4
輪,lun2
論,lun4
羅,luo2
螺,luo2
鑼,luo2
裸,luo3
洛,luo4
絡,luo4
落,luo4
律,lv1
綠,lv1
旅,lv3
略,lve4
媽,ma1
嗎,ma2
麻,ma2
碼,ma3
馬,ma3
嘛,ma5
埋,mai2
買,mai3
賣,mai4
邁,mai4
麥,mai4
滿,man3
慢,man4
曼,man4
漫,man4
忙,mang2
芒,mang2
莽,mang3
貓,mao1
毛,mao2
茅,mao2
冇,mao3
冒,mao4
帽,mao4
貌,mao4
麼,me
媒,mei2
梅,mei2
楣,mei2
沒,mei2
眉,mei2
莓,mei2
每,mei3
美,mei3
妹,mei4
們,men2
門,men2
悶,men4
蒙,meng1
檬,meng2
盟,meng2
萌,meng2
艋,meng3
夢,meng4
迷,mi2
米,mi3
密,mi4
泌,mi4
秘,mi4
棉,mian2
綿,mian2
免,mian3
面,mian4
麵,mian4
描,miao2
苗,miao2
秒,miao3
民,min2
敏,min3
名,ming2
明,ming2
銘,ming2
命,ming4
謬,miu4
模,mo2
魔,mo2
抹,mo3
末,mo4
茉,mo4
某,mou3
母,mu3
幕,mu4
木,mu4
目,mu4
拿,na2
哪,na3
那,na4
奶,nai3
耐,nai4
南,nan2
男,nan2
難,nan2
腦,nao3
內,nei4
能,neng2
呢,ni2
尼,ni2
你,ni3
擬,ni3
溺,ni4
膩,ni4
年,nian2
廿,nian4
念,nian4
娘,niang2
釀,niang4
尿,niao4
您,nin2
寧,ning2
檸,ning2
牛,niu2
扭,niu3
紐,niu3
鈕,niu3
濃,nong2
農,nong2
暖,nuan3
女,nv3
喔,o1
歐,ou1
毆,ou1
嘔,ou3
趴,pa1
爬,pa2
拍,pai1
排,pai2
牌,pai2
派,pai4
盤,pan2
判,pan4
旁,pang2
咆,pao2
炮,pao2
跑,pao3
泡,pao4
胚,pei1
培,pei2
陪,pei2
配,pei4
盆,pen2
朋,peng2
澎,peng2
碰,peng4
批,pi1
披,pi1
啤,pi2
皮,pi2
偏,pian1
篇,pian1
片,pian4
漂,piao1
票,piao4
拚,pin1
頻,pin2
品,pin3
坪,ping2
屏,ping2
平,ping2
憑,ping2
蘋,ping2
評,ping2
坡,po1
婆,po2
破,po4
迫,po4
葡,pu2
普,pu3
